"Product","Produkt"
"qty","Antall"
"Price","Pris"
"Subtotal","Ordreverdi"
"Tax","MVA"
"Grand Total","Total"
"Use","Bruk"
"Cancel","Avbryt"
"Discount Code","Rabattkode"
"Shipping Methods","Leveringsmetoder"
"I want to sign up for the newsletter","Jeg ønsker å registrere meg for nyhetsbrevet"
"Invoice Fee","Fakturagebyr"
"Fee""Gebyr"
"You used coupon code "%1".","Du brukte rabattkoden "%1""
"The coupon code "%1" is not valid.","Rabattkoden "%1" er ikke gyldig."
"Private Customers","Privatkunder"
"Business Customers","Bedriftskunder"
"Private customers & Business customers","Privat- og bedriftskunder"
"Cart","Handlekurven"
"Shipping & Handling (%1)","Frakt og ekspedisjon (%1)"
