"Product","Produkt"
"qty","Antal"
"Price","Pris"
"Subtotal","Sub Total"
"Tax","Moms"
"Grand Total","Totalt"
"Use","Använd"
"Cancel","Avbryt"
"Discount Code","Rabattkod"
"Shipping Methods","Leveransmetoder"
"I want to sign up for the newsletter","Jag vill anmäla mig till nyhetsbrevet"
"Invoice Fee","Fakturaavgift"
"Fee Amount",""
"Fee","Avgift"
"You used coupon code "%1".","Du använder rabattkoden %1"
"The coupon code ""%1"" is not valid.","Kupongen ""%1"" är inte giltig."
"Private Customers","Privat kunder"
"Business Customers","Företags kunder"
"Private customers & Business customers","Privat och företags kunder"
"Cart","Varukorg"
"Shipping & Handling (%1)","Frakt & Hantering (%1)"
